"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"4","AM","AM","ARM",51,"Armenia",2820,3017661,142,145,44.563,40.534,"ACACIUS ",7,NA
"192","SZ","CH","CHE",756,"Switzerland",4000,7424389,150,155,7.908,46.861,"ACACIUS ",22,NA
"71","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11,"ACACIUS ",65,NA
"187","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," ACCA ",70,528
"80","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," ADALBERT OF PRAGUE ",25,617
"711","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," ADALBERT OF PRAGUE ",65,617
"163","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," ADALBERT OF PRAGUE ",17,617
"138",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," ADOMNAN ",16,499
"206","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ADOMNAN ",302,499
"50","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," ADOMNAN ",93,499
"2061","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," ADRIAN OF CANTERBURY ",302,504
"501","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," ADRIAN OF CANTERBURY ",93,504
"502","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," AGILBERT ",93,467
"2062","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," AGILBERT ",302,467
"2063","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," AGNES ",302,328
"2064","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," AIDAN ",302,460
"503","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," AIDAN ",93,460
"2065","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," AILBE ",302,437
"504","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," AILBE ",93,437
"2066","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," AILRED OF RIEVAULX ",302,78
