"","NAME","DOBNEAR","DECEASEDNEAR","OCCUPATION","DESCRIPTION"
"1","ABBO OF FLEURY ",NA,"1004"," Benedictine monk and abbot"""," He was born near Orleans, became a monk at Fleury (recently reformed by Cluny), and studied at Paris and Reims. Through his writings on mathematics and astronomy, as well as on Lives of the Popes and the independence of monasteries from secular and episcopal control, he became known as one of the foremost scholars of his time. At the invitation of *Oswald of Worcester, who had become a monk at Fleury, Abbo spent two years at Ramsey Abbey (985-7). There he stimulated the monastic reform movement by his teaching and his encouragement of study: his influence is seen in the writings of Byrthferth of Ramsey. Abbo himself wrote the first Life of *Edmund of East Anglia, based on the witness of Edmund’s standard-bearer, and dedicated it to *Dunstan. Abbo became abbot of Fleury in 988. During his abbacy Aristotle’s Categories and Analytics were copied and studie He died at La Réole (Gascony), a monastery which he was visiting to reform. A scuffle broke out between monks and serving-men; Abbo attempted to calm it, but was killed in the riot. Because he met a violent death, he was venerated as a martyr. Feast: 13 November"
"2","ABDON AND SENNEN ",NA,"303",NA," They were buried in the cemetery of Pontian on the Via Portuensis. Their early cult is recorded in the Depositio Martyrum (354) and in early Roman Sacramentaries. A fresco of the 6th-7th centuries near their tomb depicts them in Persian dress, serving Christ. It seems likely that they were indeed Persians, but perhaps of servile rather than noble rank, which was attributed to them by their unreliable Acts. Feast: 30 July"
"3","ABRAHAM KIDUNAIA ",NA,"350"," hermit"," Born of a wealthy family near Edessa in Mesopotamia, Abraham agreed to his parents’ wish that he should marry, but on the last of the seven-day feasting which preceded the wedding ran away to be a monk in the desert. Friends and relatives remonstrated with him in vain: he walled up the door of his cell, leaving only a small opening for food, and gave all his goods to the poor except for a cloak, a goatskin, a bowl, and a mat. Thus equipped, he led a life of penance for fifty years. Near his cell was a pagan town BethKiduna, whose citizens had hitherto resisted all attempts to convert them. The bishop of Edessa asked him to leave his hermitage and preach to the people; for this purpose he ordained him priest. Abraham had a church built and then destroyed every idol in sight. Driven out by the people, he returned during the night and again preached to the townsmen, who stoned him and left him half-dea He returned to preach for about three years in spite of ill-treatment; suddenly there was a breakthrough: his patience convinced them of his holiness, they listened to his message and were baptize For a year he continued to teach and then retired to his hermitage. An attractive legend which added to his popularity relates how his orphan niece Mary had been entrusted to his care. For her he built a cell near his own and trained her in learning and piety until she was twenty. At this point, seduced by a false monk, she ran away, longing to see the wider world, went to Troas and became a prostitute. For two years he lamented her departure in ignorance and then boldly attempted to rescue her. He disguised himself as an army officer and pretended to seek her services. At first, not recognizing him, she was uninhibited; later, holding her hand, he comforted her, appealed to her to resume her former life, and promised to take her sins on himself if only she would return. This she did and was rewarded after three years by the gift of healing. Abraham died at the age of seventy. An immediate popular cult was manifested by local people trying to take parts of his clothing. The Life and Legend of Abraham has inspired English and other dramatists. Feast: 16 March, but in the Byzantine calendar Abraham and his niece Mary are venerated together on 29 October"
"4","ACACIUS ",NA,NA,NA," The cult of these purely mythical martyrs seems to have begun in Armenia; their Acts closely resemble those of *Maurice and the Theban legion. The place of their death was claimed to be Mount Ararat. There is no early evidence for a cult: the Acts date from the 12th century and their popularity from the time of the Crusades. These include a story that Acacius asked God just before their death by crucifixion at the hands of a pagan army, that whoever venerated their memory would enjoy health of mind and body; for this reason, Acacius was often included among the *Fourteen Holy Helpers. His cult thrived in Switzerland and Germany; it is attested by several notable works of art from the 13th to the 16th centuries, including a 15th-century stained glass window at Berne, which provides the most complete pictorial record of the martyrdom. Relics were claimed by Cologne, Prague, and other towns. Eventually these saints were included in R.M. on 22 June, but are omitted from its most recent edition (2001)"
"5"," ACCA ",NA,"740",NA," As a young man he joined the household of Bosa, bishop of York; later he became the disciple of *Wilfrid and was his constant companion for thirteen years, including those which were spent in various journeys on the Continent. When Wilfrid was ill at Meaux in 705, Acca was told the story of his vision. On his deathbed Wilfrid named Acca his successor as abbot of Hexham. In fact, Acca became bishop as well: he completed three of Wilfrid’s smaller churches and adorned the principal one with altars, relics, and sacred vessels. A skilled singer himself, he entrusted his cathedral chant to Maban, a monk from Canterbury. Acca was a notable scholar. The wide range and outstanding quality of his theological library were praised by *Bede, who dedicated several of his biblical works to Acca in language of respectful friendship. Acca, for his part, urged Bede to write a simple commentary on Luke, as that of *Ambrose was too long and diffuse. He also supplied material to Bede for the Ecclesiastical History and to Eddius for his Life of Wilfri In 732 Acca either retired or was expelled from his see of Hexham for reasons unknown. The Hexham tradition, supported by two Martyrologies, asserts that he became bishop of Whithorn. Other writers connect his retirement with that of *Ceolwulf, king of Northumbria, in the same year, or with the arrival at York of Egbert as bishop. Acca was buried at Hexham, near the east wall of the cathedral. At his tomb were placed two stone crosses, decorated with Mediterranean-style patterns of grapes and tendrils, part of which survive. In the late 11th century his relics were translated by Alfred Westow, priest of Hexham and sacrist of Durham. In the coffin was found a portable altar inscribed Almae Trinitati, agiae Sophiae, sanctae Mariae. His relics were translated in 1154 and again in 1240. Feast: 20 October; translation 19 February.ACISLUS AND VICTORIA, martyrs and patrons of Cordoba (Spain), early 4th century. Acislus was venerated as a martyr from the 6th century or earlier. In the 8th century a Passion was written of little historical value. This made them brother and sister, who were imprisoned and executed in the amphitheatre, one by beheading and the other by being pierced with arrows. Their bodies were buried by a Christian lady Minciana on her estate outside the city, where a church was built over their tombs: this subsequently was al so the burial place of martyrs under the Arab persecutions. Eulogius of Cordoba (8th century) highly praised them as had the earlier Prudentius (348-410): they enjoyed a prominent cult in the Mozarabic liturgy and relics were sent both to Gerona and to Toulouse (by Charlemagne). To this day they are invoked against storms, especially in their native city of Cordoba. Feast: 17 November. Bibl SS., i. 160-1: B.L.S., xi. 154-5"
"6"," ADALBERT OF EGMOND ",NA,"710"," deacon"," A native of Northumbria and disciple of *Willibrord, apostle of Frisia, Adalbert worked mainly at Egmond but possibly for a time at Utrecht. His late Life records only generalities about him together with accounts of miracles at his tomb. A Benedictine monastery dedicated to him was revived at Egmond during the first half of the 20th century. Feast: 25 June"
"7"," ADALBERT OF MAGDEBURG ",NA,"981"," archbishop"," Details of his early life are unknown, but he became a monk at St. Maximin of Trier. The emperor Otto the Great and his English wife Edith founded a monastery at Magdeburg to provide a base for evangelizing the Slavs: this was a policy he favoured for both religious and political reasons. At the request of *Olga of Kiev, a recently converted septuagenarian ruler, a Christian mission was sent there, headed by Adalbert. This mission ended in failure, not through Adalbert’s fault, but because Olga’s son Svyatoslav superseded her: he was not a Christian and some of the missionaries were kille Adalbert however escaped, remaining at the imperial court of Mainz until he was appointed abbot of Weissenburg. In 988 he became first archbishop of Magdeburg with papal jurisdiction over the Slavs beyond the Elbe together with the Wends whom he evangelize In 973 Otto died; he was buried in Magdeburg cathedral by Adalbert, who outlived him for eight years. Feast: 20 June"
"8"," ADALBERT OF PRAGUE ",NA,"997"," bishop and missionary martyr"," Born at Libice (Bohemia) of a princely family, he was educated by *Adalbert of Magdeburg. On the latter’s death he returned to Prague, the proud possessor of a collection of books. In 982, although less than thirty years old, he was chosen as its bishop. Austere, zealous, and energetic, he tried to spread Christianity in Hungary as well as in half-converted Bohemia. Although he had high moral as well as intellectual standards, visiting prisoners and the poor besides dividing the revenues according to *Gregory’s guidelines, he was exiled in 990 by nationalist opposition and went to Rome. There he became a monk, but was soon recalled to Bohemia by Duke Boleslas, who agreed to support him in the exercise of his authority. Adalbert soon founded the Benedictine abbey of Brevnov, helped by the influential *Maiolus of Cluny. Trouble soon returned however when a penitent adulterous noblewoman, given sanctuary in a nunnery by Adalbert, was dragged out and killed by her accusers. Excommunication and a violent reaction to this penalty obliged him to leave Prague for Rome once more in 995. This time some of Adalbert’s relatives were massacred and the people of Prague refused to receive him back. Adalbert had meanwhile become a close friend of Otto III, and his adviser on converting the Slavs. His last years were spent on a mission to convert the Prussians in Pomerania, following successful preaching in Danzig and elsewhere on the Baltic coast, made possible by his friendship with King Boleslas of Polan Adalbert was martyred as a suspected Polish spy, traditionally near Konigsberg. He was buried at Gniezno, but in 1039 the relics were removed to Prague. Adalbert’s widespread cult, in Bohemia, Hungary, Germany, Poland, and Kiev, reflects his importance in the conversion of eastern Europe. An 11th-century sculpture survives at Rome in the church of S. Bartholomeo all’isola Tiberina, while at Gniezno he is depicted on bronze doors (1175) receiving the pastoral staff from Otto III. Adalbert is also credited with the composition of vernacular Czech and Polish hymns. Feast: 23 April"
"9"," ADAM ",NA,"1222"," bishop of Caithness"," Adam became a Cistercian monk when a young man and was later abbot of Melrose. William, king of Scotland, appointed him as bishop in a remote area where his own power was weak and that of the Norse earls strong. Adam attempted to enforce law and order, including canon law, and the payment of tithes. The customary offering of a span of butter for twenty cows was increased by Adam to one for fifteen, then one of twelve, and finally one for ten. The people revolted, forced an entry into the bishop’s house at Halkirke, and burnt him and his followers to death. His body, although ‘roasted with fire and livid with bruises, was found entire under a heap of stones and buried honourably in the church’. An unofficial cult grew up. Feast: 15 September"
"10"," ADOMNAN ","627","704"," abbot of Iona"," He was born in Co. Donegal and became a monk in one of *Columba’s monasteries in Irelan He was a biblical scholar and teacher, who moved to Iona under abbot Segene, whom he succeeded in 679. He became famous both as a writer and as a leading protagonist in Northern Ireland of the Roman system of calculating Easter. In 686 he came to Northumbria to obtain from his former pupil King Aldfrith the release of sixty Irish prisoners, captured during the reign of Egfrith (670-85). In 688 Adomnan visited *Ceolfrith of Wearmouth, who converted him from the Iona tradition of Easter calculation and other practices. In 692 he took part in Irish synods and conventions as the ruler of Iona’s monasteries in Northern Irelan Then and in 697 he met with considerable success, pleading for the acceptance of the Easter dates which were kept by Rome and virtually all the Church in the West. At the Synod of Birr (697) he persuaded leading clerics and laymen to adopt the Law of Adomnan (Cain Adomnain) which protected women by exempting them from going to battle and insisting that they be treated by all as non-combatants. Boys and clerics were similarly protected and provision was made for effective sanctuary. These rules, the first example of their kind, came to be accepted all over Irelan Adomnan’s principal work was the Life of his relative Columba, founder of Iona. This influential portrait of a charismatic pioneer is one of the most vivid Lives to be produced in its time. He also wrote a work on the Holy Places of Palestine, compiled from information provided by the French bishop Arculfus, who had been shipwrecked in western Britain. *Bede knew this work, given to king Aldfrith, but not apparently the Life of Columba. After Adomnan’s death, Iona accepted the Roman Easter in 716. His cult flourished in both Ireland and Scotland with dedications to him in Donegal, Derry, and Sligo as well as Aberdeenshire, Banff, Forfar, and the Western Isles. In 727 the relics of Adomnan were brought from Iona to Ireland to help make peace between the tribes of Adomnan’s father and mother. They were carried round forty churches which had been under Iona’s rule: the people swore to obey the Law of Adonman. His shrines were desecrated by Northmen in 830 and 1030. Feast: 23 September"
